"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABHD8",20.8785024211894,-0.0132660189010686,0.0509659120688841,0.595242763063961,0.966100407882324
"ABI1",209.489924464248,0.00536779867428511,0.0480967362399058,0.534649168692082,0.962843297551762
"ABI2",304.482075816924,0.00441269730280265,0.047307920458441,0.701327681344012,0.979381316738632
"ABI3BP",36.2204158330202,-0.0101191151528476,0.0498584426233654,0.0276992512553887,0.650412843622104
"ABL1",79.2425258885113,-0.000649685415692982,0.0480838566999336,0.911615967455186,0.989479911599757
"ABL2",158.711746220971,-0.0233060787671812,0.0560065745962093,0.0229980898817677,0.61270016672355
"ABLIM1",226.245620786743,-0.00418312116639494,0.0475406131744308,0.687662792009739,0.979381316738632
"ABLIM2",87.5239516020706,-0.00512709314284207,0.048419666784238,0.43645296114416,0.947419824548523
"ABLIM3",105.021510864931,-0.000727409826500577,0.0477899325187498,0.926900118119778,0.990827784302068
"ABR",104.852041315454,-0.00176827144386026,0.0481705954451857,0.760054480433647,0.98199427166359
"ABTB2",20.3934947417917,2.11715547421402,0.419683861125235,0.0639665411946881,0.747648617113827
"ACACA",280.088113486569,0.000528826402285614,0.0477162352022377,0.952411965799186,0.992349615761141
"ACACB",40.3922058681056,-0.00677353467965389,0.0489200198208189,0.186031471166332,0.868813575349771
"ACAD10",39.735230778278,-0.00718978961985104,0.0490419757158337,0.134931690013464,0.837138771714183
"ACAD11",53.1245404459665,0.00363271400585411,0.048172109935164,0.602322166658605,0.967208077386172
"ACADSB",57.4142558426801,-0.00504356307520989,0.048466730019802,0.414268132986066,0.937572672000897
"ACAP2",296.258120341602,0.00758582394784379,0.0482360229689242,0.451983502778735,0.95177155542207
"ACBD3",40.4200682094538,0.00829269126603005,0.049235069996479,0.233300050848962,0.879993757807423
"ACBD6",247.67656933455,-0.00237619382291682,0.0476219943760354,0.79721430318596,0.983726497130201
"ACBD7",90.7583241223816,-0.00409202027828113,0.0483022928803088,0.520254609053008,0.962843297551762
"ACCN1",1180.78359210254,0.0041398028292949,0.0473844331787255,0.622403082142937,0.970824974698301
"ACER2",56.3066609433026,-0.00148544642227307,0.0482777195126397,0.753051470950293,0.98199427166359
